News_1,News_frequency,Trad_News_print,Trad_News_online,Trad_News_TV,Trad_News_radio,SM_News_1,SM_News_2,SM_News_3,SM_News_4,SM_News_5,SM_News_6,SM_Sharing,survey_date
-6.793079534965942,-3.1585904658961055,-0.8993664362145048,-0.30720807486180157,-5.369940135805196,0.4967141530112327,3.0,2.0,4.0,1.0,4.0,2.0,0.0,2023-01-01 00:00:00.000000000
-9.476937512243898,9.21910375822373,7.044672597104358,-5.060362030616665,-5.628863110398657,-0.13826430117118466,0.0,2.0,3.0,4.0,4.0,,0.0,2023-01-01 08:44:41.081081081
-9.44342228098706,9.422100086524841,6.297438580294703,-4.189804427602368,-7.181929321799989,0.6476885381006925,2.0,4.0,4.0,4.0,3.0,1.0,1.0,2023-01-01 17:29:22.162162162
-2.56872297911455,5.773018788129251,3.6154911948938118,1.7206015325475716,-8.12741037311612,1.5230298564080254,4.0,2.0,2.0,2.0,0.0,0.0,2.0,2023-01-02 02:14:03.243243243
-1.3736319828721513,9.968287891691526,5.291270087533899,1.6579004393003864,-6.120657970658003,-0.23415337472333597,2.0,2.0,2.0,0.0,3.0,4.0,0.0,2023-01-02 10:58:44.324324324
-7.642834371842161,-9.607470106423309,6.383619814389839,2.8517750767959247,3.9676254171481062,-0.23413695694918055,2.0,3.0,4.0,0.0,0.0,0.0,3.0,2023-01-02 19:43:25.405405405
-2.1425993769559017,8.074406341870969,4.1260119188914075,0.9139561620517804,-6.942306288424442,1.5792128155073915,0.0,1.0,2.0,2.0,1.0,4.0,2.0,2023-01-03 04:28:06.486486486
-9.037512541810287,9.842970851071481,5.823199133206293,-5.6038543041632884,-5.999360359803326,0.7674347291529088,0.0,3.0,3.0,,0.0,2.0,3.0,2023-01-03 13:12:47.567567567
-6.068358990976539,-2.631059346861128,,-3.7480294973533574,-4.671295368049311,-0.4694743859349521,,3.0,1.0,2.0,1.0,0.0,2.0,2023-01-03 21:57:28.648648648
-5.210205088924541,-8.44365622681303,6.127639853463519,2.466902903084317,5.358083042566561,0.5425600435859647,1.0,0.0,2.0,0.0,1.0,,,2023-01-04 06:42:09.729729729
-2.52771075904514,8.725627489278185,4.962597396566191,1.145938740388409,-6.360280676910098,-0.46341769281246226,3.0,3.0,2.0,4.0,0.0,1.0,,2023-01-04 15:26:50.810810810
-9.031924994605252,-9.55748107587843,7.112392676671009,1.0351207077129922,4.030194588828605,-0.46572975357025687,1.0,4.0,,2.0,2.0,,3.0,2023-01-05 00:11:31.891891891
-2.749523021210885,8.639465320648727,,,-7.24059335697035,0.24196227156603412,3.0,4.0,3.0,1.0,0.0,1.0,1.0,2023-01-05 08:56:12.972972973
-6.323879583875287,-8.382439984554402,9.488525260399786,1.378782004484033,5.089291684002147,-1.913280244657798,3.0,0.0,1.0,2.0,4.0,0.0,3.0,2023-01-05 17:40:54.054054054
-5.966524967042697,-9.641506707316355,8.816211484458226,1.7511766338216073,4.140084261572474,-1.7249178325130328,2.0,1.0,4.0,3.0,4.0,0.0,2.0,2023-01-06 02:25:35.135135135
-7.128046606117819,-4.865218638275373,-0.9484756295250081,-1.8440094666182025,-4.258132219935654,,2.0,1.0,4.0,,2.0,1.0,0.0,2023-01-06 11:10:16.216216216
-8.341418398549232,9.336193033873855,7.600302093066522,-6.1197248068025285,-8.067372242684707,-1.0128311203344238,3.0,3.0,3.0,0.0,1.0,2.0,0.0,2023-01-06 19:54:57.297297297
-9.806356009476325,8.5505631146208,5.996763927415374,-6.842850823776866,-7.148262563985691,0.3142473325952739,3.0,3.0,1.0,2.0,2.0,4.0,1.0,2023-01-07 04:39:38.378378378
-2.9680818859216904,10.09296696162962,4.601370366727394,1.8005423839999124,-5.995967253664598,-0.9080240755212111,1.0,3.0,3.0,3.0,4.0,3.0,2.0,2023-01-07 13:24:19.459459459
-0.5997809825826197,7.615718554379182,5.202848072918672,1.3225271148189048,-7.366752574915966,-1.4123037013352917,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2023-01-07 22:09:00.540540540
-7.077448013583273,-8.989601040289521,7.128614635146022,3.1560703317312404,4.755008278201772,1.465648768921554,2.0,2.0,3.0,4.0,0.0,3.0,3.0,2023-01-08 06:53:41.621621621
-8.761958638773585,-9.387052664376972,7.416367816639818,2.1821566268615764,3.1337764149949514,-0.22577630048653566,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2023-01-08 15:38:22.702702702
-6.447134035483521,-4.300098029219327,1.036037151205747,-0.4849304599664519,-4.843762390885963,0.06752820468792384,3.0,2.0,4.0,3.0,1.0,3.0,3.0,2023-01-09 00:23:03.783783783
-7.7555924398152465,-5.766997872383904,1.2787182974433635,-2.0397426884517884,-4.493654723781781,-1.4247481862134568,1.0,2.0,,,0.0,4.0,0.0,2023-01-09 09:07:44.864864864
,9.275341400378213,4.644992292870563,1.7385825505655845,-8.294997933201685,-0.5443827245251827,2.0,1.0,2.0,1.0,3.0,4.0,1.0,2023-01-09 17:52:25.945945946
-4.869713864213686,-3.4665193762947184,1.4571158217165978,-1.5981115971703124,-3.425516956615451,0.11092258970986608,1.0,2.0,3.0,0.0,4.0,1.0,3.0,2023-01-10 02:37:07.027027027
-5.838254955288173,-2.6190920790278494,-0.6120281841576949,-1.7266055641429505,-4.326716416271684,-1.1509935774223028,3.0,0.0,0.0,2.0,4.0,0.0,2.0,2023-01-10 11:21:48.108108108
-5.778760646552114,-4.463355438976018,2.41857442746971,-2.1357145971762668,-5.8646002340064225,0.37569801834567196,3.0,3.0,2.0,3.0,2.0,4.0,,2023-01-10 20:06:29.189189189
-6.167615037560755,-1.7189319986564464,0.988115091159216,-1.4186173801631479,-3.1000737940822636,-0.600638689918805,,0.0,3.0,1.0,0.0,2.0,0.0,2023-01-11 04:51:10.270270270
-6.419345131708504,-3.3668355132547463,1.444723204009245,-1.4205148084301789,-2.319913881244898,-0.2916937497932768,0.0,4.0,1.0,4.0,3.0,0.0,1.0,2023-01-11 13:35:51.351351351
-6.27559426692058,-7.955994694312601,6.871432582665623,1.5522580871046747,4.427329785572958,-0.6017066122293969,4.0,3.0,2.0,3.0,0.0,0.0,0.0,2023-01-11 22:20:32.432432432
-5.648686788142515,-4.02995738956831,1.0619003588289364,-2.018472181152409,-4.224382226897611,1.8522781845089378,2.0,2.0,4.0,1.0,4.0,,3.0,2023-01-12 07:05:13.513513513
-2.5439093927579934,7.845608090578791,5.782701650743122,2.7251027166275064,-6.088595244108223,-0.013497224737933914,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2023-01-12 15:49:54.594594594
-2.548752776909405,9.695786825570949,4.668197212358561,2.0029258234364753,-5.941343385175273,-1.0577109289559,2.0,3.0,2.0,,3.0,1.0,0.0,2023-01-13 00:34:35.675675675
,,-1.8951757348246812,-1.7733203721821549,-3.261943464021755,0.822544912103189,3.0,2.0,2.0,3.0,2.0,4.0,1.0,2023-01-13 09:19:16.756756756
-2.734973923539286,,,1.4287869594155493,-6.768704601441404,-1.2208436499710222,4.0,0.0,4.0,3.0,1.0,2.0,2.0,2023-01-13 18:03:57.837837837
-7.18931867032581,-9.590484162226593,,3.362750680887321,2.286279086275165,0.2088635950047554,4.0,3.0,3.0,2.0,0.0,0.0,3.0,2023-01-14 02:48:38.918918919
-10.422633159575533,10.162226824812745,5.106051300798789,-6.385972816319516,-5.767059518276235,-1.9596701238797756,4.0,,1.0,1.0,1.0,2.0,1.0,2023-01-14 11:33:20.000000000
-7.1087095086159655,-9.832677131244523,4.761189256703393,1.831272472264007,,,2.0,0.0,4.0,3.0,4.0,0.0,2.0,2023-01-14 20:18:01.081081081
,9.740052752097016,5.120888067964815,2.1970537082198636,-7.670101646596582,,3.0,4.0,1.0,,2.0,4.0,0.0,2023-01-15 05:02:42.162162162
-6.991335654624647,,6.587992972908936,3.2583934100746133,5.252761676515179,0.7384665799954104,1.0,4.0,3.0,2.0,2.0,4.0,2.0,2023-01-15 13:47:23.243243243
-5.259979937719526,-4.794437923221234,0.8437237525057373,-1.486274055540849,-3.3285350921542474,0.1713682811899705,1.0,4.0,2.0,3.0,0.0,3.0,,2023-01-15 22:32:04.324324324
-2.7641748404736055,10.518279116781011,1.9889090278350894,3.0646765358631938,-5.633541998653641,-0.11564828238824053,2.0,4.0,1.0,0.0,2.0,3.0,0.0,2023-01-16 07:16:45.405405405
