News_1,News_frequency,Trad_News_print,Trad_News_online,Trad_News_TV,Trad_News_radio,SM_News_1,SM_News_2,SM_News_3,SM_News_4,SM_News_5,SM_News_6,SM_Sharing,survey_date
-5.002468443382828,8.048621324675116,6.269045201129046,,-8.053507155560244,0.4967141530112327,0.0,0.0,,3.0,2.0,0.0,1.0,2023-01-01 00:00:00.000000000
-7.417857935139395,9.862664512963446,7.798989619688051,-5.687123540135501,,-0.13826430117118466,3.0,3.0,0.0,3.0,3.0,1.0,3.0,2023-01-01 01:44:51.178235647
-2.5072207782969396,10.547159483834635,3.2948643522974326,1.1121200117751564,-5.502446254646709,0.6476885381006925,4.0,4.0,0.0,2.0,0.0,2.0,3.0,2023-01-01 03:29:42.356471294
-6.656114624374898,-8.101564411468113,7.942383245643338,1.3930664714767567,7.075560771689272,1.5230298564080254,3.0,1.0,2.0,0.0,0.0,4.0,2.0,2023-01-01 05:14:33.534706941
-9.0752622466737,9.645485168867625,6.002944642746138,-4.727203660727179,-6.785277520245618,-0.23415337472333597,2.0,3.0,4.0,3.0,4.0,4.0,0.0,2023-01-01 06:59:24.712942588
-2.7241186533414856,8.706251844012582,5.419539368497441,3.283478430060341,-5.483943380361314,-0.23413695694918055,4.0,1.0,1.0,3.0,3.0,2.0,3.0,2023-01-01 08:44:15.891178235
-0.8859409325246963,11.005656546615228,5.032792346776318,3.5635732525143706,-7.448775389823804,1.5792128155073915,3.0,4.0,0.0,1.0,2.0,3.0,2.0,2023-01-01 10:29:07.069413882
-6.566867899582331,-9.881256018444748,7.692574964088672,1.6393010203807181,4.595520043104087,0.7674347291529088,2.0,,2.0,1.0,2.0,2.0,3.0,2023-01-01 12:13:58.247649529
-8.044160225681772,-9.196318191049347,6.463909401620249,1.1317314242731618,2.0516133152952682,-0.4694743859349521,3.0,2.0,0.0,3.0,2.0,4.0,3.0,2023-01-01 13:58:49.425885177
-2.7641445934563396,9.270456733892601,5.833189842155227,1.2014288693439497,-7.377589037969112,0.5425600435859647,3.0,3.0,0.0,2.0,0.0,2.0,3.0,2023-01-01 15:43:40.604120824
-6.268964706389331,-4.290450310522666,0.1153975076109176,-0.2844349756554132,-4.00000355421275,-0.46341769281246226,4.0,0.0,0.0,0.0,4.0,0.0,2.0,2023-01-01 17:28:31.782356471
-8.073479453182449,-3.244282946307314,-1.4357049680793261,-2.3377773224650396,-5.975256731427599,-0.46572975357025687,2.0,1.0,2.0,3.0,,3.0,1.0,2023-01-01 19:13:22.960592118
-6.662273265424955,-2.9798053215345135,0.45390788927663933,0.7659049117353107,-4.045330259777423,0.24196227156603412,0.0,3.0,2.0,,1.0,,3.0,2023-01-01 20:58:14.138827765
-7.733191541048605,9.776423328671395,7.1283633789497385,-5.2135630120894065,-5.750874278520875,-1.913280244657798,1.0,3.0,3.0,2.0,1.0,4.0,3.0,2023-01-01 22:43:05.317063412
-6.30300320960553,-2.6031623504171484,-0.15123903770121228,-1.303116680568835,-5.388132271838012,-1.7249178325130328,4.0,1.0,3.0,,2.0,2.0,2.0,2023-01-02 00:27:56.495299059
-7.843814564724063,9.336831003139974,4.994342421095689,-5.270369040686369,-6.0487380944028235,-0.5622875292409727,2.0,0.0,3.0,,4.0,2.0,0.0,2023-01-02 02:12:47.673534706
-9.411012900936642,9.397125909702472,5.128984778632926,-5.808611311916812,-6.937435288932188,-1.0128311203344238,3.0,0.0,0.0,4.0,2.0,1.0,1.0,2023-01-02 03:57:38.851770354
-6.033991123980013,-8.941790546482935,6.833952268468032,2.0641961560184527,6.798120697866498,0.3142473325952739,2.0,,4.0,2.0,2.0,,2.0,2023-01-02 05:42:30.030006001
-5.742626369973727,-4.422103831068871,,-2.274148811154416,,-0.9080240755212111,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2023-01-02 07:27:21.208241648
-9.080377444121936,8.737749675232303,5.8693966147562024,-5.243716403610071,-7.4039679637475535,-1.4123037013352917,1.0,0.0,3.0,,2.0,4.0,2.0,2023-01-02 09:12:12.386477295
-8.220598234642383,-9.158154034524767,7.467832934933782,,3.3278532729545036,1.465648768921554,0.0,1.0,4.0,3.0,2.0,1.0,2.0,2023-01-02 10:57:03.564712942
